"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 10 16:12:20 CEST 2024","Sat Aug 10 16:12:34 CEST 2024","13444","","ObjectPage","","","","TC4:Usuccessful login with empty credentials","Unsuccesfull login using empty credentials"
"failed","Sat Aug 10 16:12:34 CEST 2024","Sat Aug 10 16:12:42 CEST 2024","8347","","ObjectPage","","","","tc5:Successful AddUser","Successful add user"
"passed","Sat Aug 10 16:11:40 CEST 2024","Sat Aug 10 16:11:52 CEST 2024","11599","","ObjectPage","","","","TC1:Open browser","Open url :OrangeHRM in chrome"
"passed","Sat Aug 10 16:12:06 CEST 2024","Sat Aug 10 16:12:20 CEST 2024","14587","","ObjectPage","","","","TC3:Usuccessful login with invalid credentials","Unsuccesfull login using valid username & invalid password"
"passed","Sat Aug 10 16:12:42 CEST 2024","Sat Aug 10 16:13:07 CEST 2024","24615","","ObjectPage","","","","Tc6:SearchByUsername","Search on User by Username"
"passed","Sat Aug 10 16:13:50 CEST 2024","Sat Aug 10 16:14:16 CEST 2024","25973","","ObjectPage","","","","tc9:SearchByStatus","search by status"
"passed","Sat Aug 10 16:11:52 CEST 2024","Sat Aug 10 16:12:06 CEST 2024","13541","","ObjectPage","","","","TC2: Successful login with valid credentials","login using valid credentials"
"passed","Sat Aug 10 16:14:16 CEST 2024","Sat Aug 10 16:14:35 CEST 2024","19183","","ObjectPage","","","","TC10:UpdateUser","Update user"
"failed","Sat Aug 10 16:13:25 CEST 2024","Sat Aug 10 16:13:49 CEST 2024","23934","","ObjectPage","","","","Tc8:DeleteUser","Delete User"
"passed","Sat Aug 10 16:13:07 CEST 2024","Sat Aug 10 16:13:25 CEST 2024","18716","","ObjectPage","","","","Tc7:SearchByUserRole","Search on User by user role"
